SERIALNO,SPORDER,WGTP,PWGTP,HINCP,NP,NOC,GRPIP,MHP,FINCP,MRGP,OCPIP,STATE,TEN,HHT,HHT2,HUPAOC,CIT,FER
2023HU0830208,2,104,103,144200,2,0,0,-1,144200,0,6,27,2,1,02,4,1,b
2023HU0830276,1,28,27,56500,1,0,0,-1,-60000,980,50,27,1,6,05,4,1,b
2023HU0830412,1,88,88,158000,4,2,0,-1,158000,1500,13,27,1,1,01,1,1,1
2023HU0830412,2,88,81,158000,4,2,0,-1,158000,1500,13,27,1,1,01,1,1,b
2023HU0830412,3,88,63,158000,4,2,0,-1,158000,1500,13,27,1,1,01,1,1,b
2023HU0830412,4,88,57,158000,4,2,0,-1,158000,1500,13,27,1,1,01,1,1,b
2023HU0830453,1,50,50,84000,2,1,0,-1,84000,730,25,27,1,2,10,2,1,b
2023HU0830453,2,50,41,84000,2,1,0,-1,84000,730,25,27,1,2,10,2,1,b
2023HU0830616,1,18,18,54000,11,9,0,550,54000,280,14,27,1,1,01,3,1,b
2023HU0830616,2,18,23,54000,11,9,0,550,54000,280,14,27,1,1,01,3,1,2
2023HU0830616,3,18,24,54000,11,9,0,550,54000,280,14,27,1,1,01,3,1,b
2023HU0830616,4,18,24,54000,11,9,0,550,54000,280,14,27,1,1,01,3,1,b
2023HU0830616,5,18,23,54000,11,9,0,550,54000,280,14,27,1,1,01,3,1,b
2023HU0830616,6,18,22,54000,11,9,0,550,54000,280,14,27,1,1,01,3,1,b
2023HU0830616,7,18,20,54000,11,9,0,550,54000,280,14,27,1,1,01,3,1,b
2023HU0830616,8,18,7,54000,11,9,0,550,54000,280,14,27,1,1,01,3,1,b
2023HU0830616,9,18,10,54000,11,9,0,550,54000,280,14,27,1,1,01,3,1,b
2023HU0830616,10,18,17,54000,11,9,0,550,54000,280,14,27,1,1,01,3,1,b
