SERIALNO,SPORDER,WGTP,PWGTP,HINCP,NP,NOC,GRPIP,MHP,FINCP,MRGP,OCPIP,STATE,TEN,HHT,HHT2,HUPAOC,CIT,FER
2023HU0841324,2,21,16,32200,2,0,26,-1,-60000,0,0,27,3,5,04,4,1,2
2023HU0841341,1,23,23,79000,4,2,0,-1,79000,0,14,27,2,1,01,3,1,b
2023HU0841341,2,23,22,79000,4,2,0,-1,79000,0,14,27,2,1,01,3,1,2
2023HU0841341,3,23,19,79000,4,2,0,-1,79000,0,14,27,2,1,01,3,1,b
2023HU0841341,4,23,18,79000,4,2,0,-1,79000,0,14,27,2,1,01,3,1,b
2023HU0841408,1,103,103,140000,3,1,0,-1,140000,800,10,27,1,1,01,2,1,2
2023HU0841408,2,103,102,140000,3,1,0,-1,140000,800,10,27,1,1,01,2,1,b
2023HU0841408,3,103,90,140000,3,1,0,-1,140000,800,10,27,1,1,01,2,1,b
2023HU0841423,1,99,99,13200,1,0,25,-1,-60000,0,0,27,3,6,05,4,1,b
2023HU0841482,1,372,372,50020,1,0,31,-1,-60000,0,0,27,3,4,09,4,1,b
2023HU0841504,1,128,129,58000,2,0,0,-1,58000,0,9,27,2,1,02,4,1,b
2023HU0841504,2,128,96,58000,2,0,0,-1,58000,0,9,27,2,1,02,4,1,b
2023HU0841566,1,77,77,8400,1,0,34,-1,-60000,0,0,27,3,6,05,4,1,b
2023HU0841639,1,15,15,19000,1,0,0,-1,-60000,0,31,27,2,6,05,4,1,b
2023HU0841729,1,80,81,80000,2,0,0,-1,80000,1600,28,27,1,1,02,4,1,b
2023HU0841729,2,80,85,80000,2,0,0,-1,80000,1600,28,27,1,1,02,4,1,b
2023HU0841731,1,62,61,63800,2,0,0,-1,63800,960,22,27,1,1,02,4,1,b
2023HU0841731,2,62,75,63800,2,0,0,-1,63800,960,22,27,1,1,02,4,1,b
2023HU0841732,1,69,69,5500,1,0,101,-1,-60000,0,0,27,3,6,05,4,1,b
2023HU0841812,1,156,156,141850,6,3,0,-1,141850,1600,21,27,1,1,01,3,1,b
2023HU0841812,2,156,135,141850,6,3,0,-1,141850,1600,21,27,1,1,01,3,1,2
2023HU0841812,3,156,112,141850,6,3,0,-1,141850,1600,21,27,1,1,01,3,1,b
2023HU0841812,4,156,112,141850,6,3,0,-1,141850,1600,21,27,1,1,01,3,1,b
2023HU0841812,5,156,190,141850,6,3,0,-1,141850,1600,21,27,1,1,01,3,1,b
2023HU0841812,6,156,144,141850,6,3,0,-1,141850,1600,21,27,1,1,01,3,1,b
2023HU0841839,1,28,28,75200,3,0,0,-1,75200,0,6,27,2,1,02,4,1,b
2023HU0841839,2,28,20,75200,3,0,0,-1,75200,0,6,27,2,1,02,4,1,b
2023HU0841839,3,28,29,75200,3,0,0,-1,75200,0,6,27,2,1,02,4,1,b
2023HU0841898,1,85,85,22700,2,0,0,-1,22700,0,36,27,2,1,02,4,1,b
2023HU0841898,2,85,83,22700,2,0,0,-1,22700,0,36,27,2,1,02,4,1,b
2023HU0841924,1,19,20,53600,2,0,0,-1,53600,0,8,27,2,1,02,4,1,b
2023HU0841924,2,19,18,53600,2,0,0,-1,53600,0,8,27,2,1,02,4,1,b
